UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
86,L00086,L,301.0,310.4,1168,44.7,108,0,0,0,0,0,0
87,M00087,M,299.3,309.2,1372,34.2,196,0,0,0,0,0,0
88,L00088,L,296.7,305.8,1168,34.4,54,0,0,0,0,0,0
89,L00089,L,300.9,310.7,1355,42.3,215,0,0,0,0,0,0
90,M00090,M,298.5,310.4,1240,53.7,253,0,0,0,0,0,0
91,L00091,L,300.4,311.5,1319,44.3,117,0,0,0,0,0,0
92,M00092,M,300.3,310.6,1287,49.6,253,0,0,0,0,0,0
93,L00093,L,296.2,307.8,1693,30.8,146,0,0,0,0,0,0
94,L00094,L,300.2,309.3,1490,46.2,15,0,0,0,0,0,0
95,L00095,L,301.0,313.5,1715,33.3,28,0,0,0,0,0,0
96,M00096,M,301.3,310.8,1508,41.4,133,0,0,0,0,0,0
97,L00097,L,300.2,312.2,1686,46.2,233,0,0,0,0,0,0
98,L00098,L,296.0,308.0,1440,34.7,25,0,0,0,0,0,0
99,L00099,L,302.6,310.8,1819,29.8,145,0,0,0,0,0,0
100,H00100,H,300.8,312.3,1594,43.6,210,0,0,0,0,0,0
101,H00101,H,297.6,307.3,1344,38.7,253,0,0,0,0,0,0
102,M00102,M,298.4,307.9,1624,41.4,233,0,0,0,0,0,0
103,L00103,L,300.5,311.0,1505,46.6,27,0,0,0,0,0,0
104,H00104,H,301.4,310.4,1459,53.1,24,0,0,0,0,0,0
105,M00105,M,299.0,309.5,1519,46.6,55,0,0,0,0,0,0
106,M00106,M,301.7,310.7,1650,45.3,74,0,0,0,0,0,0
107,L00107,L,296.4,306.6,1168,35.0,219,0,0,0,0,0,0
108,L00108,L,297.9,309.3,1430,36.5,163,0,0,0,0,0,0
109,L00109,L,295.9,306.3,1637,44.5,238,0,0,0,0,0,0
110,H00110,H,298.2,307.8,1550,36.4,111,0,0,0,0,0,0
111,L00111,L,303.0,313.6,1275,44.5,104,0,0,0,0,0,0
112,L00112,L,304.1,312.7,1168,31.8,71,0,0,0,0,0,0
113,L00113,L,300.5,309.6,1840,59.3,111,0,0,0,0,0,0
114,M00114,M,298.7,308.3,1463,41.9,203,0,0,0,0,0,0
115,L00115,L,299.6,310.3,1803,41.3,176,0,0,0,0,0,0
116,H00116,H,300.9,311.4,1659,35.2,205,0,0,0,0,0,0
117,M00117,M,296.9,307.4,1341,59.1,213,0,0,0,0,0,0
118,M00118,M,298.9,308.8,1168,27.5,4,0,0,0,0,0,0
119,L00119,L,302.9,312.1,1408,33.0,60,0,0,0,0,0,0
120,M00120,M,297.9,309.4,1493,48.5,169,0,0,0,0,0,0
121,M00121,M,298.5,307.8,1590,42.4,116,0,0,0,0,0,0
122,M00122,M,300.0,310.4,1278,34.2,33,0,0,0,0,0,0
123,L00123,L,300.6,310.5,1536,34.5,16,0,0,0,0,0,0
124,L00124,L,298.7,309.3,1536,37.1,239,0,0,0,0,0,0
125,L00125,L,300.2,309.5,1697,41.0,215,0,0,0,0,0,0
126,L00126,L,301.2,312.3,1439,55.5,81,0,0,0,0,0,0
127,L00127,L,303.9,315.3,1589,46.1,162,0,0,0,0,0,0
128,L00128,L,299.7,310.7,1558,50.2,37,0,0,0,0,0,0
129,L00129,L,299.9,310.1,1675,35.7,34,0,0,0,0,0,0
130,M00130,M,303.1,312.6,1336,45.2,87,0,0,0,0,0,0
131,L00131,L,298.9,311.7,1168,24.5,71,0,0,0,0,0,0
132,H00132,H,297.4,306.4,1453,41.8,253,0,0,0,0,0,0
133,M00133,M,300.5,311.4,1454,41.2,9,0,0,0,0,0,0
134,L00134,L,302.2,312.5,1268,58.2,138,0,0,0,0,0,0
135,M00135,M,300.7,310.7,1198,55.6,219,0,0,0,0,0,0
136,L00136,L,299.8,310.0,1385,37.4,7,0,0,0,0,0,0
137,H00137,H,297.1,306.6,1477,31.8,145,0,0,0,0,0,0
138,L00138,L,299.9,310.3,1519,32.1,96,0,0,0,0,0,0
139,M00139,M,302.5,312.8,1168,37.1,58,0,0,0,0,0,0
140,L00140,L,297.5,310.2,1168,53.0,60,0,0,0,0,0,0
141,L00141,L,299.5,310.6,1726,44.1,206,0,0,0,0,0,0
142,L00142,L,299.2,309.7,1462,45.2,118,0,0,0,0,0,0
143,H00143,H,298.6,309.2,1500,48.1,17,0,0,0,0,0,0
144,M00144,M,300.5,312.3,1233,30.1,106,0,0,0,0,0,0
145,L00145,L,300.9,309.9,1499,32.9,207,0,0,0,0,0,0
146,L00146,L,300.9,310.7,1425,45.2,174,0,0,0,0,0,0
147,L00147,L,298.0,306.1,1376,32.2,242,1,0,1,0,0,0
148,M00148,M,296.7,307.3,1208,24.7,199,0,0,0,0,0,0
149,L00149,L,300.5,311.4,1326,29.2,43,0,0,0,0,0,0
150,L00150,L,299.0,308.0,1894,50.5,17,0,0,0,0,0,0
151,H00151,H,303.7,315.1,1430,36.3,122,0,0,0,0,0,0
152,H00152,H,303.8,313.1,1658,42.3,118,0,0,0,0,0,0
153,L00153,L,304.0,313.6,1461,29.7,139,0,0,0,0,0,0
154,M00154,M,298.1,308.2,1438,43.8,173,0,0,0,0,0,0
155,L00155,L,301.1,312.7,1373,37.3,64,0,0,0,0,0,0
156,M00156,M,301.7,310.9,1769,44.5,253,0,0,0,0,0,0
157,L00157,L,301.5,311.8,1575,35.2,125,0,0,0,0,0,0
158,M00158,M,299.3,310.1,1342,45.0,184,0,0,0,0,0,0
159,M00159,M,302.6,313.1,1421,34.7,106,0,0,0,0,0,0
160,M00160,M,300.0,310.6,1715,39.2,176,0,0,0,0,0,0
161,L00161,L,300.3,311.0,1168,37.3,249,0,0,0,0,0,0
162,H00162,H,296.9,306.4,1562,40.3,44,0,0,0,0,0,0
163,L00163,L,301.3,313.0,1608,42.8,110,0,0,0,0,0,0
164,L00164,L,299.5,309.4,1350,35.1,176,0,0,0,0,0,0
165,M00165,M,300.9,310.7,1531,38.8,220,0,0,0,0,0,0
166,L00166,L,300.5,311.8,1600,41.9,161,0,0,0,0,0,0
167,H00167,H,300.4,309.7,1254,45.1,64,0,0,0,0,0,0
168,H00168,H,299.9,310.2,1668,39.2,168,0,0,0,0,0,0
169,L00169,L,301.6,310.9,1559,31.1,158,0,0,0,0,0,0
170,H00170,H,299.6,312.1,1469,40.9,16,0,0,0,0,0,0
171,L00171,L,297.1,309.4,1521,46.7,154,0,0,0,0,0,0
172,M00172,M,301.1,311.0,1641,26.7,138,0,0,0,0,0,0
173,L00173,L,298.4,308.9,1963,26.8,73,0,0,0,0,0,0
174,H00174,H,297.4,307.4,1622,33.4,65,0,0,0,0,0,0
175,L00175,L,298.0,307.6,1662,38.1,194,0,0,0,0,0,0
176,L00176,L,300.6,310.7,1539,18.0,16,0,0,0,0,0,0
177,L00177,L,299.8,309.8,1880,45.7,72,0,0,0,0,0,0
178,H00178,H,295.7,304.2,1207,38.2,182,0,0,0,0,0,0
179,H00179,H,299.2,309.5,1168,16.5,58,0,0,0,0,0,0
180,M00180,M,302.3,312.3,1531,28.9,33,0,0,0,0,0,0
181,H00181,H,299.1,309.4,1632,37.0,253,0,0,0,0,0,0
182,H00182,H,299.7,309.6,1168,22.3,148,0,0,0,0,0,0
183,M00183,M,302.1,311.7,1499,49.7,71,0,0,0,0,0,0
184,L00184,L,301.6,312.5,1464,41.9,39,0,0,0,0,0,0
185,M00185,M,302.0,312.6,1649,46.8,5,0,0,0,0,0,0
186,M00186,M,294.5,305.9,1586,29.7,193,0,0,0,0,0,0
187,L00187,L,303.5,314.0,1168,44.1,90,0,0,0,0,0,0
188,L00188,L,301.3,311.1,1284,33.4,49,0,0,0,0,0,0
189,M00189,M,304.9,315.5,1339,38.1,232,0,0,0,0,0,0
190,L00190,L,298.4,306.5,1648,43.5,176,0,0,0,0,0,0
191,H00191,H,296.5,308.6,1575,39.3,210,0,0,0,0,0,0
192,L00192,L,300.0,310.3,1376,48.1,166,0,0,0,0,0,0
193,L00193,L,299.4,311.6,1529,41.4,232,0,0,0,0,0,0
194,H00194,H,301.3,310.4,1288,35.4,92,0,0,0,0,0,0
195,L00195,L,302.1,311.0,1910,48.4,40,0,0,0,0,0,0
196,L00196,L,299.8,310.2,1615,50.5,2,0,0,0,0,0,0
197,M00197,M,299.5,309.9,1657,40.9,12,0,0,0,0,0,0
198,H00198,H,301.0,311.4,1775,53.4,221,0,0,0,0,0,0
199,L00199,L,299.5,309.7,1703,37.6,156,0,0,0,0,0,0
200,L00200,L,299.3,308.7,1506,38.7,12,0,0,0,0,0,0
201,M00201,M,302.1,310.6,1463,40.0,30,0,0,0,0,0,0
202,H00202,H,302.5,312.8,1758,38.7,181,0,0,0,0,0,0
203,M00203,M,302.2,310.9,1505,36.9,100,0,0,0,0,0,0
204,L00204,L,299.7,308.3,1350,32.9,196,0,0,0,0,0,0
205,L00205,L,295.7,305.3,1893,30.1,237,0,0,0,0,0,0
206,L00206,L,299.7,310.1,1313,41.1,191,0,0,0,0,0,0
207,L00207,L,298.5,310.5,1168,52.0,46,0,0,0,0,0,0
208,M00208,M,299.7,310.7,1699,48.1,167,0,0,0,0,0,0
209,L00209,L,298.7,310.1,1354,43.9,151,0,0,0,0,0,0
210,M00210,M,300.0,310.6,1587,52.5,218,0,0,0,0,0,0
211,M00211,M,297.9,308.3,1863,40.2,54,0,0,0,0,0,0
212,M00212,M,297.4,309.9,1225,30.1,185,0,0,0,0,0,0
213,L00213,L,302.4,311.1,1492,36.5,152,0,0,0,0,0,0
214,H00214,H,298.1,307.6,1797,39.4,126,0,0,0,0,0,0
215,M00215,M,300.0,309.7,1636,34.9,77,0,0,0,0,0,0
216,M00216,M,301.9,312.8,1464,46.1,10,0,0,0,0,0,0
217,L00217,L,301.8,310.8,1978,49.4,204,0,0,0,0,0,0
218,L00218,L,301.6,312.4,1481,22.7,27,0,0,0,0,0,0
219,H00219,H,300.6,311.2,1579,38.5,100,0,0,0,0,0,0
220,L00220,L,301.4,312.3,1830,11.0,126,0,0,0,0,0,0
221,L00221,L,302.7,313.5,1696,39.1,83,0,0,0,0,0,0
222,L00222,L,300.9,312.4,1764,39.0,168,0,0,0,0,0,0
223,M00223,M,296.3,306.3,1320,57.8,86,0,0,0,0,0,0
224,H00224,H,298.9,309.5,1746,54.8,136,0,0,0,0,0,0
225,L00225,L,301.4,310.7,1534,49.3,24,0,0,0,0,0,0
226,H00226,H,298.7,307.8,1351,30.4,115,0,0,0,0,0,0
227,L00227,L,303.2,315.0,1544,29.8,147,0,0,0,0,0,0
228,M00228,M,299.9,309.1,1538,29.0,221,0,0,0,0,0,0
229,M00229,M,300.2,310.8,1874,55.3,49,1,0,0,1,0,0
230,L00230,L,302.2,312.8,1576,30.9,86,0,0,0,0,0,0
231,L00231,L,299.6,310.8,1344,36.1,66,0,0,0,0,0,0
232,L00232,L,300.4,308.7,1298,31.0,39,1,0,1,0,0,0
233,H00233,H,301.8,312.7,1491,27.4,103,0,0,0,0,0,0
234,M00234,M,297.1,307.0,1231,43.3,233,0,0,0,0,0,0
235,H00235,H,299.4,308.8,1357,41.5,99,0,0,0,0,0,0
236,H00236,H,301.7,311.4,1451,17.8,74,1,0,0,1,0,0
237,L00237,L,300.1,311.2,1416,27.0,242,0,0,0,0,0,0
238,M00238,M,302.9,313.7,1645,42.6,184,0,0,0,0,0,0
239,L00239,L,296.8,306.7,1352,39.3,94,0,0,0,0,0,0
240,L00240,L,296.6,305.5,1168,36.0,190,0,0,0,0,0,0
241,H00241,H,301.5,310.5,1168,46.1,167,0,0,0,0,0,0
242,M00242,M,301.7,312.5,1496,25.6,219,0,0,0,0,0,0
243,L00243,L,299.6,308.3,1383,34.1,28,0,0,0,0,0,0
244,M00244,M,300.8,310.7,1253,45.2,140,0,0,0,0,0,0
245,M00245,M,301.5,314.2,1892,33.5,181,0,0,0,0,0,0
246,H00246,H,298.4,308.8,1666,43.1,253,0,0,0,0,0,0
247,M00247,M,298.6,309.3,1488,28.5,155,0,0,0,0,0,0
248,L00248,L,300.4,309.3,1547,31.8,36,0,0,0,0,0,0
249,L00249,L,301.8,310.6,1447,22.2,246,0,0,0,0,0,0
250,L00250,L,297.7,308.5,1249,19.4,116,0,0,0,0,0,0
251,M00251,M,299.6,309.3,1706,35.2,127,0,0,0,0,0,0
252,H00252,H,299.5,310.7,1670,44.5,69,0,0,0,0,0,0
253,L00253,L,300.8,311.0,1168,38.9,206,0,0,0,0,0,0
254,L00254,L,300.0,313.5,1545,51.6,134,0,0,0,0,0,0
255,L00255,L,298.9,308.4,1567,36.1,246,0,0,0,0,0,0
256,M00256,M,302.5,312.9,1436,18.8,134,0,0,0,0,0,0
257,H00257,H,298.9,308.1,1919,43.4,51,0,0,0,0,0,0
258,L00258,L,299.4,310.5,1898,29.2,195,0,0,0,0,0,0
259,L00259,L,296.8,307.4,1424,41.3,37,0,0,0,0,0,0
260,M00260,M,298.6,307.7,1455,17.1,75,1,0,0,1,0,0
261,L00261,L,301.0,310.8,1432,37.2,238,0,0,0,0,0,0
262,H00262,H,300.6,312.1,1378,47.0,252,0,0,0,0,0,0
263,L00263,L,301.2,312.6,1316,45.8,196,0,0,0,0,0,0
264,L00264,L,301.1,309.8,1601,37.5,52,0,0,0,0,0,0
265,H00265,H,304.2,313.8,1892,39.5,193,0,0,0,0,0,0
266,L00266,L,298.5,310.4,1810,35.0,150,0,0,0,0,0,0
267,L00267,L,296.8,306.7,1658,37.0,113,0,0,0,0,0,0
268,L00268,L,297.9,308.2,1168,46.3,113,0,0,0,0,0,0
269,L00269,L,298.6,309.7,1168,32.5,115,0,0,0,0,0,0
270,L00270,L,298.1,306.8,1713,33.5,82,0,0,0,0,0,0
271,L00271,L,300.2,309.3,1824,24.2,136,0,0,0,0,0,0
272,L00272,L,302.5,312.3,1611,46.5,9,0,0,0,0,0,0
273,L00273,L,303.1,314.4,1439,36.8,215,0,0,0,0,0,0
274,M00274,M,301.0,312.1,1770,27.4,230,0,0,0,0,0,0
275,M00275,M,304.3,315.1,1651,48.2,102,0,0,0,0,0,0
276,L00276,L,299.3,309.2,1727,39.0,240,0,0,0,0,0,0
277,L00277,L,296.7,308.0,1168,32.0,196,0,0,0,0,0,0
278,M00278,M,302.1,312.1,1569,48.4,218,0,0,0,0,0,0
279,H00279,H,296.3,307.0,1855,36.0,230,0,0,0,0,0,0
280,H00280,H,298.5,309.5,1605,23.8,91,0,0,0,0,0,0
281,L00281,L,301.0,312.8,1690,49.0,206,0,0,0,0,0,0
282,L00282,L,299.8,309.8,1507,31.1,37,0,0,0,0,0,0
283,L00283,L,299.6,309.4,1521,69.7,247,1,0,0,0,1,0
284,L00284,L,297.6,309.0,1781,35.0,151,0,0,0,0,0,0
285,M00285,M,300.0,311.5,1366,19.3,179,0,0,0,0,0,0
286,L00286,L,302.0,311.6,1346,57.0,78,0,0,0,0,0,0
287,L00287,L,300.0,309.0,1404,38.9,8,0,0,0,0,0,0
288,L00288,L,298.3,309.7,1505,42.0,41,0,0,0,0,0,0
289,M00289,M,297.5,306.0,1178,43.3,39,1,0,1,0,0,0
290,L00290,L,298.4,306.8,1646,25.8,112,0,0,0,0,0,0
291,H00291,H,300.8,310.6,1467,17.8,79,0,0,0,0,0,0
292,L00292,L,300.7,310.8,1671,59.0,239,1,0,0,1,0,0
293,H00293,H,298.4,307.3,1168,23.8,218,0,0,0,0,0,0
294,L00294,L,295.6,305.8,1672,55.8,137,0,0,0,0,0,0
295,H00295,H,300.8,311.1,1767,44.7,221,0,0,0,0,0,0
296,H00296,H,298.2,307.7,1588,41.2,153,0,0,0,0,0,0
297,H00297,H,301.4,313.4,1506,34.8,238,0,0,0,0,0,0
298,H00298,H,298.5,308.9,1673,62.5,194,0,0,0,0,0,0
299,M00299,M,298.0,309.2,1754,32.5,189,0,0,0,0,0,0
300,M00300,M,300.3,308.9,1605,32.8,73,0,0,0,0,0,0
301,M00301,M,304.7,313.3,1620,46.2,204,0,0,0,0,0,0
302,L00302,L,301.5,312.0,1831,32.7,195,0,0,0,0,0,0
303,M00303,M,300.3,312.1,1652,29.3,23,0,0,0,0,0,0
304,M00304,M,300.7,309.7,1340,38.9,18,0,0,0,0,0,0
305,H00305,H,296.5,306.6,1753,46.3,228,0,0,0,0,0,0
306,L00306,L,297.8,306.5,1475,58.3,248,0,0,0,0,0,0
307,L00307,L,295.0,304.3,1507,60.3,153,0,0,0,0,0,0
308,M00308,M,303.5,313.7,1521,21.6,46,0,0,0,0,0,0
309,L00309,L,303.1,312.6,1694,49.9,107,0,0,0,0,0,0
310,L00310,L,300.8,309.5,1850,29.6,5,0,0,0,0,0,0
311,L00311,L,300.3,308.9,1505,30.1,208,0,0,0,0,0,0
312,L00312,L,296.9,305.0,1846,34.1,26,0,0,0,0,0,0
313,L00313,L,299.6,310.0,1533,33.4,85,0,0,0,0,0,0
314,L00314,L,303.6,314.2,1780,28.8,142,0,0,0,0,0,0
315,L00315,L,300.3,310.9,1540,16.2,177,0,0,0,0,0,0
316,L00316,L,298.9,308.0,1402,53.9,229,0,0,0,0,0,0
317,L00317,L,296.5,307.5,1884,48.5,107,1,0,0,1,0,0
318,M00318,M,302.8,313.5,1382,39.3,51,0,0,0,0,0,0
319,L00319,L,299.9,309.9,1369,29.8,28,0,0,0,0,0,0
320,H00320,H,296.5,306.3,1249,51.8,172,0,0,0,0,0,0
321,H00321,H,298.2,307.5,1753,38.9,38,0,0,0,0,0,0
322,L00322,L,297.4,307.6,1801,33.7,167,0,0,0,0,0,0
323,L00323,L,299.7,311.4,1575,23.0,115,0,0,0,0,0,0
324,M00324,M,300.4,311.6,1303,44.9,108,0,0,0,0,0,0
325,H00325,H,299.0,308.7,1499,36.1,71,0,0,0,0,0,0
326,M00326,M,301.6,312.1,1439,42.1,231,0,0,0,0,0,0
327,H00327,H,300.2,309.1,1294,41.2,186,0,0,0,0,0,0
328,M00328,M,302.1,312.9,1402,45.8,136,0,0,0,0,0,0
329,M00329,M,299.3,308.5,1601,41.7,110,0,0,0,0,0,0
330,L00330,L,306.1,316.8,1379,36.4,91,0,0,0,0,0,0
331,M00331,M,298.9,311.8,1558,45.0,104,0,0,0,0,0,0
332,L00332,L,298.2,307.6,1168,49.0,216,0,0,0,0,0,0
333,M00333,M,297.9,310.9,1836,55.0,110,0,0,0,0,0,0
334,H00334,H,299.6,310.1,1422,28.3,6,0,0,0,0,0,0
335,L00335,L,296.6,305.8,1674,50.6,234,0,0,0,0,0,0
336,M00336,M,300.6,309.8,1538,23.6,153,0,0,0,0,0,0
337,L00337,L,296.2,308.6,1580,49.6,42,0,0,0,0,0,0
338,M00338,M,300.3,310.8,1274,33.6,35,0,0,0,0,0,0
339,L00339,L,297.3,306.7,1348,47.9,95,0,0,0,0,0,0
340,H00340,H,299.2,309.0,1352,54.4,160,0,0,0,0,0,0
341,L00341,L,301.2,311.6,1505,41.8,238,0,0,0,0,0,0
342,H00342,H,304.6,314.6,1765,39.5,19,0,0,0,0,0,0
343,H00343,H,297.8,308.2,1587,39.0,94,0,0,0,0,0,0
344,M00344,M,299.7,311.5,1320,35.3,68,0,0,0,0,0,0
345,M00345,M,298.6,307.4,1517,51.2,110,0,0,0,0,0,0
346,M00346,M,298.3,308.9,1484,38.9,203,0,0,0,0,0,0
347,H00347,H,298.6,308.5,1430,18.2,45,0,0,0,0,0,0
348,L00348,L,301.6,311.1,1497,48.8,237,0,0,0,0,0,0
349,M00349,M,299.0,310.1,1653,48.3,68,0,0,0,0,0,0
350,L00350,L,304.5,313.0,1356,40.4,190,1,0,1,0,0,0
351,M00351,M,300.8,308.5,1431,32.1,165,0,0,0,0,0,0
352,L00352,L,298.0,308.2,1696,28.4,139,0,0,0,0,0,0
353,M00353,M,299.3,309.1,1594,32.1,217,0,0,0,0,0,0
354,M00354,M,298.4,307.0,1756,42.0,157,0,0,0,0,0,0
355,L00355,L,301.6,309.9,1787,21.6,198,0,0,0,0,0,0
356,M00356,M,296.7,308.7,1228,44.2,152,0,0,0,0,0,0
357,M00357,M,297.3,307.8,1558,40.7,185,0,0,0,0,0,0
358,M00358,M,298.8,308.8,1398,52.9,15,0,0,0,0,0,0
359,L00359,L,301.4,313.6,1260,47.0,163,0,0,0,0,0,0
360,M00360,M,302.5,313.5,1342,32.8,228,0,0,0,0,0,0
361,H00361,H,302.8,314.5,1440,23.1,170,0,0,0,0,0,0
362,L00362,L,301.1,309.9,1441,31.8,207,0,0,0,0,0,0
363,L00363,L,299.8,308.6,1379,53.8,251,0,0,0,0,0,0
364,L00364,L,301.6,312.2,1497,42.9,40,0,0,0,0,0,0
365,M00365,M,297.7,308.1,1989,46.0,177,0,0,0,0,0,0
366,L00366,L,296.3,307.6,1168,33.7,227,0,0,0,0,0,0
367,M00367,M,300.9,309.2,1727,44.8,10,0,0,0,0,0,0
368,M00368,M,298.0,308.7,1496,24.8,47,0,0,0,0,0,0
369,L00369,L,299.9,310.9,1412,49.4,63,0,0,0,0,0,0
370,H00370,H,300.2,311.2,1168,28.4,228,0,0,0,0,0,0
371,M00371,M,300.5,310.1,1653,20.3,250,0,0,0,0,0,0
372,L00372,L,301.9,312.4,1212,62.6,231,0,0,0,0,0,0
373,L00373,L,301.7,310.9,1666,41.3,120,0,0,0,0,0,0
374,L00374,L,300.4,310.1,1848,41.1,169,0,0,0,0,0,0
